"datetime","HydroenergyGeneration","HydroPercentage","Pumped storageenergyGeneration","Pumped storagePercentage","NuclearenergyGeneration","NuclearPercentage","CoalenergyGeneration","CoalPercentage","Fuel  GasenergyGeneration","Fuel  GasPercentage","Diesel enginesenergyGeneration","Diesel enginesPercentage","Gas turbineenergyGeneration","Gas turbinePercentage","Steam turbineenergyGeneration","Steam turbinePercentage","Combined cycleenergyGeneration","Combined cyclePercentage","WindenergyGeneration","WindPercentage","Solar photovoltaicenergyGeneration","Solar photovoltaicPercentage","Thermal solarenergyGeneration","Thermal solarPercentage","Other renewablesenergyGeneration","Other renewablesPercentage","CogenerationenergyGeneration","CogenerationPercentage","Nonrenewable wasteenergyGeneration","Nonrenewable wastePercentage","Renewable wasteenergyGeneration","Renewable wastePercentage","Total generationenergyGeneration","Total generationPercentage"
2012-02-01T00:00:00.000+01:00,45503.77,0.0488762019836055,5839.689,0.00627248729249114,179420.009,0.192717407805646,186975.698,0.200833073423886,35.6,3.82384314665874e-05,9604.127,0.010315920002413,2682.418,0.00288122069825114,7226.92,0.00776253048130646,180399.284,0.193769260052119,174391.43,0.187316144506044,17695.371,0.0190068323387455,5466.688,0.00587184197857348,10979.503,0.0117932295787273,98903.938,0.106234029634512,4114.5995,0.00441954581441587,1761.4865,0.00189203597779688,931000.531,1
2012-02-02T00:00:00.000+01:00,43766.765,0.0452831416394996,8306.199,0.00859398189020527,179618.376,0.185841570914937,153414.964,0.158730295566299,56.689,5.8653090225005e-05,9907.437,0.010250697600232,3222.884,0.00333454649114864,7004.996,0.00724769642106581,137214.32,0.141968351728249,287968.815,0.297946001661394,16588.161,0.0171628870468682,3980.623,0.00411853869305739,10911.975,0.0112900395880682,98848.359,0.102273134453257,4115.7355,0.00425833240353078,1587.1415,0.00164213081196264,966513.44,1
2012-02-03T00:00:00.000+01:00,44394.858,0.0448182130816802,11654.627,0.0117657670235932,179719.087,0.181432911352279,149515.237,0.150941033549965,52.647,5.3149048570247e-05,9891.211,0.00998553486157922,3344.751,0.00337664697616924,7174.874,0.00724329452222163,124340.422,0.125526148272893,315061.897,0.318066367813686,23376.655,0.0235995777918002,5623.273,0.0056768972553186,10235.122,0.0103327254411534,100650.068,0.10160988000704,3957.1825,0.00399491870180317,1562.0385,0.00157693430024685,990553.95,1
2012-02-04T00:00:00.000+01:00,38306.698,0.0425654481287417,18222.092,0.0202479344949847,172821.227,0.192034640349685,139684.696,0.155214152939182,-1.767,1.9634463623956e-06,10277.552,0.0114201596427457,3375.551,0.00375082814489576,5846.073,0.00649601062034471,104369.635,0.115972937286534,279201.009,0.310241202885246,22477.452,0.0249763844738662,5649.801,0.0062779180654833,10042.558,0.0111590401665234,84279.392,0.0936491599588639,3865.0815,0.0042947822362974,1527.6055,0.00169743716024364,899944.656,1
2012-02-05T00:00:00.000+01:00,36798.265,0.044551764508609,9522.745,0.0115292145625761,179096.031,0.21683207611931,130702.762,0.158242207159734,-6.567,7.95068565129458e-06,10037.725,0.0121527023190408,3042.407,0.00368345084213464,6304.541,0.00763292579057383,69433.087,0.0840628366888972,265588.244,0.321548445366731,12960.543,0.0156913664174031,4323.249,0.00523416990882802,10354.304,0.0125359854182948,82263.531,0.099596691875518,3874.994,0.0046914663003887,1657.505,0.00200674603631019,825953.366,1
2012-02-06T00:00:00.000+01:00,50557.976,0.0541289194948222,10818.153,0.0115822463466431,179562.719,0.192245353354778,132885.304,0.142271081466176,39.537,4.23295246246959e-05,9679.602,0.0103632787317261,3362.753,0.00360026648254217,6983.236,0.00747646660652206,136167.62,0.145785229629872,267734.617,0.28664489119521,18894.546,0.0202290803596492,4918.997,0.00526642903205365,10880.071,0.0116485376561939,95860.149,0.102630815125642,4037.1265,0.00432227143169088,1646.5095,0.00176280356185461,934028.916,1
2012-02-07T00:00:00.000+01:00,49822.943,0.0520948943856391,9224.338,0.00964497247558093,179687.559,0.187881402520086,150346.033,0.157201888102732,64.74,6.76921767252142e-05,9638.609,0.0100781344425894,3259.33,0.00340795709554823,6889.388,0.00720354757529456,130419.754,0.136366960707862,282575.812,0.295461411865538,17411.951,0.0182059447671111,4727.004,0.00494255777183804,11068.944,0.0115736934416049,95768.662,0.100135761396993,3795.3265,0.00396839530688738,1687.8205,0.00176478596797095,956388.214,1
2012-02-08T00:00:00.000+01:00,52875.361,0.053512844316697,12923.386,0.0130791947323552,179748.275,0.181915381273139,166316.85,0.168322022449992,41.713,4.22159061000526e-05,9972.632,0.0100928654396083,3130.71,0.00316845490342329,7619.651,0.00771151610124354,157241.496,0.159137252898804,256173.202,0.259261713158531,21629.426,0.021890197708485,6209.301,0.00628416244247507,10948.772,0.0110807741150933,97772.507,0.0989512855627439,3813.7905,0.00385977085400889,1670.2115,0.00169034813730079,988087.284,1
2012-02-09T00:00:00.000+01:00,57671.449,0.0585825401298906,9817.387,0.00997248166763014,179724.863,0.18256414883969,201854.646,0.205043537222376,31.081,3.15720163330235e-05,9892.99,0.0100492790406499,2958.179,0.00300491218763898,7582.961,0.00770275629949745,204455.577,0.207685557621111,165753.178,0.16837173974668,23176.042,0.0235421761384395,7272.241,0.00738712755798343,10826.211,0.0109972430268253,97738.718,0.0992827901632759,4008.8365,0.00407216793071075,1683.3765,0.00170997041126823,984447.736,1
2012-02-10T00:00:00.000+01:00,44435.316,0.0450636898595539,3977.365,0.00403361017660468,179714.869,0.182256273810821,205340.06,0.208243838742639,30.933,3.13704333378789e-05,10173.925,0.010317797691691,2958.392,0.00300022755708512,7456.489,0.00756193356962231,171509.714,0.173935087118471,214509.941,0.217543393930522,23502.217,0.023834569284934,7530.758,0.00763725283104445,10921.832,0.0110762810811597,98569.126,0.0999630231906372,3854.771,0.00390928253607114,1570.164,0.00159236818580601,986055.872,1
